Symbol,Company_Name,Face_Value,Year_End,O.S. Shares,Registrar
FHAM,First Habib Modarba Limited,5,Jun,"201,600,000",CDC Share Registrar Services Limited
FIBLM,First IBL Modaraba,10,Jun,"21,687,500",Corptec Associates (Pvt.) Limited
FIMM,First Imrooz Modaraba Limited,10,Jun,"3,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
FIM,First Investec Modaraba,10,Jun,"3,000,000",Your Secretary (Pvt.) Limited
FNBM,First National Bank Modarba,10,Jun,"25,000,000",Hameed Majeed Associates (Pvt.) Limited
PAKMI,First Pakistan Modarba,10,Jun,"12,540,000",THK Associates (Pvt.) Limited
FPRM,First Paramount Modaraba,10,Jun,"13,788,418",THK Associates (Pvt.) Limited
PMI,First Prudential Modarba,10,Jun,"87,217,660",C & K Management Associates (Pvt.) Limited
FPJM,First Punjab Modarba,10,Jun,"34,020,000",Hameed Majeed Associates (Pvt.) Limited
FTMM,First Treet Manufacturing Modarba,10,Jun,"699,999,994",Corplink (Pvt.) Limited
FTSM,First Tri-Star Modarba,10,Jun,"21,163,104",Hameed Majeed Associates (Pvt.) Limited
FUDLM,First UDL Modarba,10,Jun,"35,120,564",CDC Share Registrar Services Limited
HMM,Habib Metro Modaraba,10,Jun,"30,000,000",CDC Share Registrar Services Limited
KASBM,KASB Modaraba,10,Jun,"48,066,480",C & K Management Associates (Pvt.) Limited
MODAM,Modaraba Al - Mali,10,Jun,"18,423,945",JWAFFS Registrar Services (Pvt.) Limited
ORM,Orient Rental Mod,10,Jun,"75,000,000",CDC Share Registrar Services Limited
ORIXM,Orix Modaraba,10,Jun,"45,383,530",FAMCO Associates (Pvt.) Limited
PIM,Popular Islamic Modaraba,10,Jun,"10,000,000",CDC Share Registrar Services Limited
SINDM,Sindh Modaraba,10,Jun,"45,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
TRSM,Trust Modarba,10,Jun,"29,800,000",Hameed Majeed Associates (Pvt.) Limited
UCAPM,UNICAP Modarba,10,Jun,"23,640,000",
MARI,Mari Petroleum Company Limited,10,Jun,"133,402,500",Corplink (Pvt.) Limited
OGDC,Oil and Gas Development Co Ltd,10,Jun,"4,300,928,400",CDC Share Registrar Services Limited
POL,Pakistan Oilfields Limited,10,Jun,"283,855,104",Self Handled
PPL,Pakistan Petroleum Limited,10,Jun,"2,720,967,548",FAMCO Associates (Pvt.) Limited
APL,Attock Petroleum Limited,10,Jun,"99,532,800",CDC Share Registrar Services Limited
BPL,Burshane LPG (Pakistan) Limited,10,Jun,"22,640,044",THK Associates (Pvt.) Limited
HASCOL,Hascol Petroleum Limited,10,Dec,"999,120,680",CDC Share Registrar Services Limited
HTL,Hi-Tech Lubricants Limited,10,Jun,"116,004,000",CDC Share Registrar Services Limited
PSO,Pakistan State Oil Company Limited,10,Jun,"469,473,300",THK Associates (Pvt.) Limited
SHEL,Shell Pakistan Limited,10,Dec,"214,024,662",FAMCO Associates (Pvt.) Limited
SNGP,Sui Northern Gas Pipelines Limited,10,Jun,"634,216,665",CDC Share Registrar Services Limited
SSGC,Sui Southern Gas Company Limited,10,Jun,"880,916,400",CDC Share Registrar Services Limited
BPBL,Baluchistan Particle Board Limited,5,Jun,"6,000,000",THK Associates (Pvt.) Limited
CEPB,Century Paper and Board Mills Limited,10,Jun,"176,422,014",FAMCO Associates (Pvt.) Limited
CPPL,Cherat Packaging Limited.,10,Jun,"42,506,836",CDC Share Registrar Services Limited
DBSL,Dadabhoy Sack Limited,10,Jun,"4,000,000",Technology Trade (Pvt.) Limited
MERIT,Merit Packaging Limited,10,Jun,"80,628,398",FAMCO Associates (Pvt.) Limited
PKGS,Packages Limited,10,Dec,"89,379,504",FAMCO Associates (Pvt.) Limited
PPP,Pakistan Paper Prouducts Limited,10,Jun,"8,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
RPL,Roshan Packages Limited,10,Jun,"141,900,000",CDC Share Registrar Services Limited
SEPL,Security Paper Limited,10,Jun,"59,255,985",FAMCO Associates (Pvt.) Limited
AGP,AGP Limited,10,Dec,"280,000,000",CDC Share Registrar Services Limited
ABOT,Abbot Laboatories (Pakistan) Limited,10,Dec,"97,900,302",FAMCO Associates (Pvt.) Limited
CPHL,Citi Pharma Ltd.,10,Jun,"207,692,000",
FEROZ,Ferozsons Laboratories Limited,10,Jun,"36,224,209",Corptec Associates (Pvt.) Limited
GLAXO,GlaxoSmithKline (Pakistan) Limited,10,Dec,"318,467,278",CDC Share Registrar Services Limited
GSKCH,GlaxoSmithKline Consumer Healthcare Pakistan Limited,10,Dec,"117,054,508",CDC Share Registrar Services Limited
HINOON,Highnoon Laboratories Limited,10,Dec,"38,076,441",Corplink (Pvt.) Limited
IBLHL,IBL HealthCare Limited,10,Jun,"54,087,605",CDC Share Registrar Services Limited
MACTERR,Macter Inter(R),10,Jun,"6,666,667",
MACTER,Macter International Limited,10,Jun,"39,144,351",F.D. Registrar Services (SMC-Pvt.) Limited
OTSU,Otsuka Pakistan Limited,10,Jun,"12,100,000",CDC Share Registrar Services Limited
SAPL,Sanofi-Aventis Pakistan Limited,10,Dec,"9,644,800",FAMCO Associates (Pvt.) Limited
SEARL,The Searle Company Limited,10,Jun,"240,040,526",CDC Share Registrar Services Limited
WYETH,Wyeth Pakistan Limited,100,Nov,"1,421,610",THK Associates (Pvt.) Limited
ALTN,Altern Energy Limited,10,Jun,"363,380,000",Corplink (Pvt.) Limited
EPQL,Engro Powergen Qadirpur Limited,10,Dec,"323,800,000",FAMCO Associates (Pvt.) Limited
HUBC,Hub Power Company Limited,10,Jun,"1,297,154,400",FAMCO Associates (Pvt.) Limited
JPGL,Japan Power Generation Limited,10,Jun,"156,037,591",Hameed Majeed Associates (Pvt.) Limited
KEL,K-Electric Limited,3.5,Jun,"27,615,194,245",CDC Share Registrar Services Limited
KOHE,Kohinoor Energy Limited,10,Jun,"169,458,614",Corplink (Pvt.) Limited
KOHP,Kohinoor Power Company Limited,10,Jun,"12,600,000",Corplink (Pvt.) Limited
KAPCO,Kot Addu Power Company Limited,10,Jun,"880,253,228",THK Associates (Pvt.) Limited
LPL,Lalpir Power Limited,10,Dec,"379,838,732",CDC Share Registrar Services Limited
NCPL,Nishat Chunian Power Limited,10,Jun,"367,346,939",Hameed Majeed Associates (Pvt.) Limited
NPL,Nishat Power Limited,10,Jun,"354,088,500",Hameed Majeed Associates (Pvt.) Limited
PKGP,PAKGEN Power Limited,10,Dec,"372,081,591",CDC Share Registrar Services Limited
SGPL,S.G. Power Limited,10,Jun,"17,833,200",Technology Trade (Pvt.) Limited
SPWL,Saif Power Limited,10,Dec,"386,471,779",THK Associates (Pvt.) Limited
SEL,Sitara Energy Limited,10,Jun,"19,092,000",THK Associates (Pvt.) Limited
TSPL,Tri-Star Power Limited,10,Jun,"15,000,000",Hameed Majeed Associates (Pvt.) Limited
DCR,Dolmen City Reit,10,Jun,"2,223,700,000",CDC Share Registrar Services Limited
ATRL,Attock Refinery Limited,10,Jun,"106,616,250",CDC Share Registrar Services Limited
BYCO,Byco Petroleum Pakistan Limited,10,Jun,"5,329,884,706",FAMCO Associates (Pvt.) Limited
NRL,National Refinery Limited,10,Jun,"79,966,560",CDC Share Registrar Services Limited
PRL,Pakistan Refinery Limited,10,Jun,"630,000,000",FAMCO Associates (Pvt.) Limited
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,10,Sep,"79,261,700",CDC Share Registrar Services Limited
ADAMS,Adam Sugar Mills Limited,10,Sep,"17,291,008",C & K Management Associates (Pvt.) Limited
AABS,Al-Abbas Sugar Mills Limited,10,Sep,"17,362,300",CDC Share Registrar Services Limited
ALNRS,Al-Noor Sugar Mills Limited,10,Sep,"20,473,755",C & K Management Associates (Pvt.) Limited
ANSM,Ansari Sugar Mills Limtied,10,Sep,"56,136,657",BMF Consultants Pakistan (Pvt.) Limited
BAFS,Baba Farid Sugar Mills Limited,10,Sep,"9,450,000",Corplink (Pvt.) Limited
CHAS,Chashma Sugar Mills Limited.,10,Sep,"28,692,000",Hameed Majeed Associates (Pvt.) Limited
DWSM,Dewan Sugar Mills Limited,10,Sep,"91,511,992",BMF Consultants Pakistan (Pvt.) Limited
FRSM,Faran Sugar Mills Limited,10,Sep,"25,007,151",C & K Management Associates (Pvt.) Limited
HRPL,Habib Rice Product Limited.,5,Jun,"40,000,000",THK Associates (Pvt.) Limited
HABSM,Habib Sugar Mills Limited,5,Sep,"150,000,000",THK Associates (Pvt.) Limited
HWQS,Haseeb Waqas Sugar Mills Limited,10,Sep,"32,400,000",Hameed Majeed Associates (Pvt.) Limited
HSM,Husein Sugar Mills Limited,10,Sep,"38,520,000",Corptec Associates (Pvt.) Limited
JDWS,J.D.W. Sugar Mills Limited,10,Sep,"59,776,661",Corplink (Pvt.) Limited
JSML,Jauharabad Sugar Mills Limited,10,Sep,"34,128,454",Corplink (Pvt.) Limited
KPUS,Khairpur Sugar Mills Limited,10,Sep,"16,017,500",C & K Management Associates (Pvt.) Limited
MRNS,Mehran Sugar Mills Limited,10,Sep,"48,927,572",C & K Management Associates (Pvt.) Limited
MIRKS,Mirpurkhas Sugar Mills Limited,10,Sep,"13,495,041",CDC Share Registrar Services Limited
NONS,Noon Sugar Mills Limited,10,Sep,"16,517,456",Corplink (Pvt.) Limited
PMRS,Premier Sugar Mills and Distillery Company Limited,10,Sep,"3,750,000",Hameed Majeed Associates (Pvt.) Limited
SKRS,Sakrand Sugar Mills Limited,10,Sep,"44,616,000",JWAFFS Registrar Services (Pvt.) Limited
SANSM,Sanghar Sugar Mills Limited,10,Sep,"11,946,000",Hameed Majeed Associates (Pvt.) Limited
SHSML,Shahmurad Sugar Mills Limited,10,Sep,"21,118,800",C & K Management Associates (Pvt.) Limited
SHJS,Shahtaj Sugar Mills Limited,10,Sep,"12,011,200",JWAFFS Registrar Services (Pvt.) Limited
SML,Shakarganj Limited,10,Sep,"125,000,000",Corptec Associates (Pvt.) Limited
SASML,Sind Abadgar Sugar Mills Limited,10,Sep,"10,425,000",JWAFFS Registrar Services (Pvt.) Limited
TSML,Tandlianwala Sugar Mills Limited,10,Sep,"117,706,300",Corplink (Pvt.) Limited
TICL,Thal Industries Corporation Limited,10,Sep,"15,023,200",Corplink (Pvt.) Limited
DSFL,Dewan Salman Fibre Limited,10,Jun,"366,321,085",BMF Consultants Pakistan (Pvt.) Limited
GATI,Gatron Industries Limited,10,Jun,"38,364,500",C & K Management Associates (Pvt.) Limited
IBFL,Ibrahim Fibre Limited,10,Jun,"310,506,995",CDC Share Registrar Services Limited
IMAGER1,Image Pak Ltd(R),10,Jun,"42,659,401",
IMAGE,Image Pakistan Limited,10,Jun,"56,879,201",
NAFL,National Fibres Limited,10,Jun,"84,777,800",
NSRM,National Silk and Rayon Mills Limited,10,Jun,"15,553,133",Corplink (Pvt.) Limited
PSYL,Pakistan Synthetics Limited,10,Jun,"84,060,000",F.D. Registrar Services (SMC-Pvt.) Limited
RUPL,Rupali Polyester Limited,10,Jun,"34,068,500",THK Associates (Pvt.) Limited
SGABL,S.G. Allied Businsses Limited,10,Jun,"15,000,000",Technology Trade (Pvt.) Limited
AVN,Avanceon Limited,10,Dec,"256,593,357",FAMCO Associates (Pvt.) Limited
HCL,Hallmark Company Limited,10,Jun,"500,000",F.D. Registrar Services (SMC-Pvt.) Limited
HUMNL,Hum Network Limited,1,Jun,"945,000,000",CDC Share Registrar Services Limited
MDTL,Media Times Limited,10,Jun,"178,851,010",Corplink (Pvt.) Limited
NETSOL,NetSol Technologies Limited,10,Jun,"89,836,923",Vision Consulting Limited
PAKD,Pak Datacom Limited,10,Jun,"10,781,100",CDC Share Registrar Services Limited
PTC,Pakistan Telecommunication Company Limited,10,Dec,"3,774,000,000",FAMCO Associates (Pvt.) Limited
SYS,Systems Limited,10,Dec,"137,086,059",THK Associates (Pvt.) Limited
TPL,TPL Corp Limited,10,Jun,"267,297,763",THK Associates (Pvt.) Limited
TPLT,TPL Trakker Limited,10,Jun,"187,263,093",THK Associates (Pvt.) Limited
TRG,TRG Pakistan Limited,10,Jun,"545,390,665",THK Associates (Pvt.) Limited
TELE,Telecard Limited,10,Jun,"300,000,000",JWAFFS Registrar Services (Pvt.) Limited
WTL,WorldCall Telecom Limited,10,Dec,"1,805,921,917",THK Associates (Pvt.) Limited
ANTM,AN Textile Mills Limited,10,Jun,"9,660,000",Corplink (Pvt.) Limited
AHTM,Ahmed Hassan Textile Mills Limited,10,Jun,"14,408,260",Vision Consulting Limited
ADMM,Artistic Denim Mills Limited,10,Jun,"84,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
ARUJ,Aruj Industries Limited,10,Jun,"10,457,890",Corplink (Pvt.) Limited
ANLPS,Azgard Nine - 8.95% Convertable Preference Shares,10,Jun,"66,125,083",
ANL,Azgard Nine Limited,10,Jun,"485,409,731",Hameed Majeed Associates (Pvt.) Limited
ANLNV,Azgard Nine Limited (Non Voting Shares),10,Jun,"5,965,608",
BHAT,Bhanero Textile Mills Limited,10,Jun,"3,000,000",Hameed Majeed Associates (Pvt.) Limited
BTL,Blessed Textile Mills Limited,10,Jun,"6,432,000",Hameed Majeed Associates (Pvt.) Limited
CHBL,Chenab Limited,10,Jun,"115,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
CLCPS,Chenab Limited - Preference Shares,10,Jun,"80,000,000",
CRTM,Crescent Textile Mills Limited,10,Jun,"100,000,000",Corptec Associates (Pvt.) Limited
FASM,Faisal Spinning Mills Limited,10,Jun,"10,000,000",Hameed Majeed Associates (Pvt.) Limited
FSWL,Fateh Sports Wear Limited,10,Jun,"2,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
FTHM,Fateh Textile Mills Limited,10,Jun,"1,250,000",Technology Trade (Pvt.) Limited
FZCM,Fazal Cloth Mills Limited,10,Jun,"30,000,000",Vision Consulting Limited
FML,Feroze 1888 Mills Limited,10,Jun,"376,800,968",FAMCO Associates (Pvt.) Limited
GFIL,Ghazi Fabrics International Limited,10,Jun,"32,635,600",Corplink (Pvt.) Limited
GATM,Gul Ahmed Textile Mills Limited,10,Jun,"513,353,556",FAMCO Associates (Pvt.) Limited
HAFL,Hafiz Limited,10,Jun,"1,200,000",F.D. Registrar Services (SMC-Pvt.) Limited
HAEL,Hala Enterprises Limited,10,Jun,"12,996,304",Corplink (Pvt.) Limited
HATM,Hamid Textile Mills Limited,10,Jun,"13,271,600",Corplink (Pvt.) Limited
HUSI,Husein Industries Limited,10,Jun,"10,625,852",C & K Management Associates (Pvt.) Limited
ILP,Interloop Limited,10,Jun,"872,197,450",CDC Share Registrar Services Limited
INKL,International Knitwear Limited,10,Jun,"9,675,000",CDC Share Registrar Services Limited
JUBS,Jubilee Spinning and Weaving Mills Limited,10,Jun,"32,491,205",Vision Consulting Limited
KAKL,Kaiser Art and Kraft Mills Limited,10,Jun,"8,550,000",
KHYT,Khyber Textile Mills Limited,10,Jun,"1,227,500",F.D. Registrar Services (SMC-Pvt.) Limited
KOIL,Kohinoor Industries Limited,10,Jun,"30,302,580",Corplink (Pvt.) Limited
KML,Kohinoor Mills Limited,10,Jun,"50,911,011",Hameed Majeed Associates (Pvt.) Limited
KTML,Kohinoor Textile Mills Limited,10,Jun,"299,296,456",Vision Consulting Limited
MSOTPS,Masood Tex.(Pref),10,Jun,"31,166,668",
MSOT,Masood Textile Mills Limited,10,Jun,"67,500,000",Corptec Associates (Pvt.) Limited
MEHT,Mehmood Textile Mills Limited,10,Jun,"18,750,025",Hameed Majeed Associates (Pvt.) Limited
MTIL,Mian Textile Industries Limited,10,Jun,"22,105,200",Hameed Majeed Associates (Pvt.) Limited
MFTM,Mohummed Farooq Textile Mills Limited,10,Jun,"18,889,200",F.D. Registrar Services (SMC-Pvt.) Limited
MUBT,Mubarak Textile Mills Limited,10,Jun,"5,400,000",Hameed Majeed Associates (Pvt.) Limited
NINA,Nina Industries Limited,10,Jun,"24,200,000",Technology Trade (Pvt.) Limited
NCL,Nishat Chunian Limited,10,Jun,"240,119,029",Hameed Majeed Associates (Pvt.) Limited
NML,Nishat Mills Limited,10,Jun,"351,599,848",THK Associates (Pvt.) Limited
PASM,Paramount Spinning Mills Limited,10,Jun,"17,352,330",Hameed Majeed Associates (Pvt.) Limited
QUET,Quetta Textile Mills Limited,10,Jun,"13,000,000",Najeeb Consultant (Pvt.) Limited
REDCO,Redco Textiles Limited,10,Jun,"49,292,600",Corplink (Pvt.) Limited
REWM,Reliance Weaving Mills Limited,10,Jun,"30,810,938",CDC Share Registrar Services Limited
SFAT,Safa Textiles Limited,10,Jun,"4,000,000",C & K Management Associates (Pvt.) Limited
SFL,Sapphire Fibers Limited,10,Jun,"20,671,875",THK Associates (Pvt.) Limited
SAPT,Sapphire Textile Mills Limited,10,Jun,"21,689,791",Hameed Majeed Associates (Pvt.) Limited
SCHT,Schon Textiles Limited,10,Jun,"11,970,000",
STML,Shams Textile Mills Limited,10,Jun,"8,640,000",Corptec Associates (Pvt.) Limited
SURC,Suraj Cotton Mills Limited,10,Jun,"40,338,443",Corptec Associates (Pvt.) Limited
TAJT,Taj Textile Mills Limited,10,Jun,"33,442,000",
TOWL,Towellers Limited,10,Jun,"17,000,000",THK Associates (Pvt.) Limited
USMT,Usman Textile MIlls Limited,10,Jun,"3,726,300",
ZAHID,Zahidjee Textile Mills Limited,10,Jun,"191,421,102",Corptec Associates (Pvt.) Limited
ZHCM,Zahur Cotton Mills Limited,10,Jun,"9,860,000",Corplink (Pvt.) Limited
AWTX,Allawasaya Textile & Weaving Mills Limited,10,Jun,"800,000",Hameed Majeed Associates (Pvt.) Limited
AMTEX,Amtex Limited,10,Jun,"259,430,134",Vision Consulting Limited
ANNT,Annoor Textile Mills Limited,5,Jun,"1,742,400",
APOT,Apollo Textile Mills Limited,10,Jun,"8,284,700",Hameed Majeed Associates (Pvt.) Limited
ASTM,Asim Textile Mills Limited,10,Jun,"15,177,000",Hameed Majeed Associates (Pvt.) Limited
AZMT,Azmat Textile Mills Limited,10,Sep,"950,000",
BCML,Babri Cotton Mills Limited,10,Jun,"3,652,178",Hameed Majeed Associates (Pvt.) Limited
BECO,Beco Steel Limited,10,Jun,"25,000,000",
BILF,Bilal Fibres Limited,10,Jun,"14,100,000",Corplink (Pvt.) Limited
CWSM,Chakwal Spinning Mills Limited,5,Jun,"121,576,200",Corplink (Pvt.) Limited
CTM,Colony Textile Mills Limited,10,Jun,"498,010,000",Hameed Majeed Associates (Pvt.) Limited
CCM,Crescent Cotton Mills Limited,10,Jun,"22,660,123",Vision Consulting Limited
CFL,Crescent Fibres Limited,10,Jun,"12,417,876",Corplink (Pvt.) Limited
DMTX,D.M. Textile Mills Limited,10,Jun,"3,052,400",Corplink (Pvt.) Limited
DSIL,D.S. Industires Limited,10,Jun,"83,685,631",THK Associates (Pvt.) Limited
DSML,Dar-es-Salaam Textile Mills Limited,10,Jun,"8,000,000",Corplink (Pvt.) Limited
DATM,Data Textile Limited,10,Jun,"9,909,600",Hameed Majeed Associates (Pvt.) Limited
DFSM,Dewan Farooque Spinning Mills Limited,10,Jun,"97,750,726",BMF Consultants Pakistan (Pvt.) Limited
DKTM,Dewan Khalid Textile Mills Limited,10,Jun,"9,610,759",BMF Consultants Pakistan (Pvt.) Limited
DMTM,Dewan Mushtaq Textile Mills Limited,10,Jun,"11,561,028",BMF Consultants Pakistan (Pvt.) Limited
DWTM,Dewan Textile Mills Limited,10,Jun,"46,064,609",BMF Consultants Pakistan (Pvt.) Limited
DINT,Din Textile Mills Limited,10,Jun,"52,466,750",CDC Share Registrar Services Limited
ELCM,Elahi Cotton Mills Limited,10,Jun,"1,300,000",Corplink (Pvt.) Limited
ELSM,Ellcot Spinning Mills Limited,10,Jun,"10,950,000",Hameed Majeed Associates (Pvt.) Limited
FAEL,Fatima Enterprizes Limited,10,Jun,"14,231,000",Corplink (Pvt.) Limited
GADT,Gadoon Textile Mills Limited,10,Jun,"28,029,583",CDC Share Registrar Services Limited
GLOT,Globe Textile Mills Limited,10,Jun,"16,367,085",NI Associates (Pvt.) Limited
GUSM,Gulistan Spinning Mills Limited,10,Jun,"14,641,000",Hameed Majeed Associates (Pvt.) Limited
GUTM,Gulistan Textile Mills Limited,10,Jun,"18,983,872",Hameed Majeed Associates (Pvt.) Limited
GSPM,Gulshan Spinning Mills Limited,10,Jun,"22,225,038",Hameed Majeed Associates (Pvt.) Limited
HMIM,Haji Mohammed Ismail Mills Limited,10,Jun,"11,975,040",Najeeb Consultant (Pvt.) Limited
HAJT,Hajra Textile Mills Limited,10,Jun,"13,750,000",Corplink (Pvt.) Limited
HIRAT,Hira Textile Mills Limited,10,Jun,"86,577,920",Vision Consulting Limited
IDSM,Ideal Spinning Mills Limited,10,Jun,"9,920,000",F.D. Registrar Services (SMC-Pvt.) Limited
IDRT,Idrees Textile Mills Limited,10,Jun,"19,852,800",JWAFFS Registrar Services (Pvt.) Limited
IDYM,Indus Dyeing Manufacturing Company Limited,10,Jun,"54,221,193",JWAFFS Registrar Services (Pvt.) Limited
JATM,J.A. Textile Mills Limited,10,Jun,"12,601,200",Hameed Majeed Associates (Pvt.) Limited
JKSM,J.K. Spinning Mills Limited,10,Jun,"102,317,502",Corptec Associates (Pvt.) Limited
JDMT,Janana-de-Malucho Textile Mills Limited,10,Jun,"4,784,794",Management & Registration Services (Pvt.) Limited
KSTM,Khalid Siraj Textile Mills Limited,10,Jun,"10,700,000",Corplink (Pvt.) Limited
KHSM,Khurshid Spinning Mills Limited,10,Jun,"13,174,800",Corplink (Pvt.) Limited
KOHTM,Kohat Textile Mills Limited,10,Jun,"20,800,000",Hameed Majeed Associates (Pvt.) Limited
KOSM,Kohinoor Spinning Mills Limited,5,Jun,"215,714,285",Corplink (Pvt.) Limited
LMSM,Land Mark Spinning Industries Limited,10,Jun,"12,123,700",F.D. Registrar Services (SMC-Pvt.) Limited
MQTM,Maqbool Textile Mills Limited,10,Jun,"18,432,000",Hameed Majeed Associates (Pvt.) Limited
NATM,Nadeem Textile Mills Limited,10,Jun,"21,511,985",Hameed Majeed Associates (Pvt.) Limited
NAGC,Nagina Cotton Mills Limited,10,Jun,"18,700,000",Hameed Majeed Associates (Pvt.) Limited
NCML,Nazir Cotton Mills Limited,10,Jun,"23,000,000",Corplink (Pvt.) Limited
PRET,Premium Textile Mills Limited,10,Jun,"6,163,000",F.D. Registrar Services (SMC-Pvt.) Limited
RCML,Reliance Cotton Spinning Mills Limited,10,Jun,"10,292,000",Hameed Majeed Associates (Pvt.) Limited
RUBY,Ruby Textile Mills Limited,10,Jun,"52,214,400",Corplink (Pvt.) Limited
SAIF,Saif Textile Mills Limited,10,Jun,"26,412,900",Hameed Majeed Associates (Pvt.) Limited
SLYT,Sally Textile Mills Limited,10,Jun,"8,775,000",Corplink (Pvt.) Limited
SANE,Salman Noman Enterpries Limited,10,Jun,"4,467,036",Corplink (Pvt.) Limited
SNAI,Sana Industries Limited,10,Jun,"11,000,000",CDC Share Registrar Services Limited
SSML,Saritow Spinning Mills Limited,10,Jun,"29,840,607",Corplink (Pvt.) Limited
SERT,Service Industries Textile Limited,10,Jun,"13,787,567",Corplink (Pvt.) Limited
SHDT,Shadab Textile Mills Limited,10,Jun,"16,600,000",Corplink (Pvt.) Limited
SHCM,Shadman Cotton Mills Limited,10,Jun,"17,636,800",Technology Trade (Pvt.) Limited
SZTM,Shahzad Textile Mills Limited,10,Jun,"17,971,372",Hameed Majeed Associates (Pvt.) Limited
SUTM,Sunrays Textile Mills Limited,10,Jun,"20,700,000",JWAFFS Registrar Services (Pvt.) Limited
TATM,Tata Textile Mills Limited,10,Jun,"55,993,614",CDC Share Registrar Services Limited
ASHT,Ashfaq Textile Mills Limited,10,Jun,"38,483,500",F.D. Registrar Services (SMC-Pvt.) Limited
HKKT,Hakkim Textile Mills Limited,10,Sep,"5,394,800",
ICCI,ICC Industries Limited,10,Jun,"30,001,120",Corplink (Pvt.) Limited
MOHE,Mohib Exports Limited,10,Sep,"15,180,000",
PRWM,Prosperity Weaving Mills Limited,10,Jun,"18,480,000",Hameed Majeed Associates (Pvt.) Limited
SDOT,Sadoon Textile Mills Limited,10,Sep,"3,000,000",
SMTM,Samin Textiles Limited,10,Jun,"26,728,000",Corplink (Pvt.) Limited
SERF,Service Fabircs Limited,10,Jun,"15,754,800",THK Associates (Pvt.) Limited
STJT,Shahtaj Textile Mills Limited,10,Jun,"9,660,000",JWAFFS Registrar Services (Pvt.) Limited
YOUW,Yousuf Weaving Mills Limited,10,Jun,"90,000,000",Corplink (Pvt.) Limited
ZTL,Zephyr Textile Limited,10,Jun,"59,428,729",THK Associates (Pvt.) Limited
KHTC,Khyber Tobacco Company Limited,10,Jun,"4,807,200",CDC Share Registrar Services Limited
PAKT,Pakistan Tobacco Company Limited,10,Dec,"255,493,792",FAMCO Associates (Pvt.) Limited
PMPK,Philip Morris (Pakistan) Limited,10,Dec,"61,580,341",FAMCO Associates (Pvt.) Limited
PIAA,Pakistan International Airlines Corporation,10,Dec,"5,233,761,118",CDC Share Registrar Services Limited
PIAB,Pakistan International Airlines Corporation (B Class Shares),5,Dec,"1,500,000",CDC Share Registrar Services Limited
PIBTL,Pakistan International Bulk Terminal Limited,10,Jun,"1,786,092,772",CDC Share Registrar Services Limited
PICT,Pakistan International Container Terminal Limited,10,Dec,"109,153,152",CDC Share Registrar Services Limited
PNSC,Pakistan National Shipping Corp,10,Jun,"132,063,360",CDC Share Registrar Services Limited
EXTR,Extraction (Pakistan) Limited,10,Sep,"1,000,000",
POML,Punjab Oil Mills Limited,10,Jun,"5,390,625",Corplink (Pvt.) Limited
SSOM,S S Oil Mills Ltd,10,Jun,"5,658,400",Corplink (Pvt.) Limited
SURAJ,Suraj Ghee Industries Limited,10,Jun,"958,100",
BNWM,Bannu Woollen Mills Limited,10,Jun,"9,506,250",Management & Registration Services (Pvt.) Limited
